Partner,Type,Slug,Route,Notion source,Readiness,Public approval,Missing fields,Conflicts,Media status,Review owner,Last updated
"Daydreamer Coffee","venue","daydreamer-coffee","/partners/launch/rainey/daydreamer-coffee","39b2e63f902b81dcb820defcbf916793","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Desnudo Coffee","venue","desnudo-coffee","/partners/launch/rainey/desnudo-coffee","39b2e63f902b81b9b447f8d197deff47","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"DivcoWest / Frost Bank Tower","operator","divcowest","/partners/launch/organizations/divcowest","3a12e63f902b8152acb1c1ad24653b9d","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Do512","media","do512","/partners/launch/media/do512","39b2e63f902b812c99dbea02072a0b94","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Downtown Austin Alliance","civic","downtown-austin-alliance","/partners/launch/civic/downtown-austin-alliance","39b2e63f902b8131bdd5da3c9ee43661","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Downtown Austin Alliance — President & CEO","civic","downtown-austin-alliance-president-and-ceo","/partners/launch/civic/downtown-austin-alliance-president-and-ceo","39b2e63f902b81cfb847fb9641175d6a","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Dunlap ATX","venue","dunlap-atx","/partners/launch/organizations/dunlap-atx","3a12e63f902b8164bb58c8260a7e5a56","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Emmer & Rye","venue","emmer-and-rye","/partners/launch/rainey/emmer-and-rye","39b2e63f902b812283dac3918cdd9e95","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Endeavor Real Estate Group","operator","endeavor-real-estate-group","/partners/launch/organizations/endeavor-real-estate-group","3a12e63f902b810ca314f8a242732f3b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Fetch Club","brand","fetch-club","/partners/launch/brands/fetch-club","39b2e63f902b81418df0f3b07878acdf","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Fifth & West","property","fifth-and-west","/partners/launch/buildings/fifth-and-west","39b2e63f902b81bd8a41e2f3087a0328","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Fine Eyewear","brand","fine-eyewear","/partners/launch/brands/fine-eyewear","39b2e63f902b81dea6adeecca73f80bc","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"First Thursday at Hotel Van Zandt","venue","first-thursday-at-hotel-van-zandt","/partners/launch/rainey/first-thursday-at-hotel-van-zandt","39b2e63f902b81f69679d64a8604346d","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"FirstService Residential","operator","firstservice-residential","/partners/launch/organizations/firstservice-residential","3a12e63f902b81e19a10edfa70a29f64","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Four Seasons Residences Austin","property","four-seasons-residences-austin","/partners/launch/buildings/four-seasons-residences-austin","39b2e63f902b816a947af9f1dbc6730e","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Gallery Night at The Contemporary","media","gallery-night-at-the-contemporary","/partners/launch/media/gallery-night-at-the-contemporary","39b2e63f902b8100b371c7bc8c303c73","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Ganni","brand","ganni","/partners/launch/brands/ganni","3a12e63f902b81999fd1f48644bcdba5","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Garage Bar","venue","garage-bar","/partners/launch/rainey/garage-bar","39b2e63f902b81aabbb4f8e590405006","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Geraldine's","venue","geraldine-s","/partners/launch/rainey/geraldine-s","39b2e63f902b81eda165fc0368a68956","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Golden Goose","brand","golden-goose","/partners/launch/brands/golden-goose","3a12e63f902b818e880efc17e6655542","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Government Rate","brand","government-rate","/partners/launch/brands/government-rate","39b2e63f902b81dbbb18c1ba09e2b670","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Grace Chow — Lobo Hospitality","individual","grace-chow-lobo-hospitality","/partners/launch/people/grace-chow-lobo-hospitality","3a12e63f902b81c4b758dbdc9666d25a","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar","operator","greystar","/partners/launch/organizations/greystar","3a12e63f902b81ccacf2dadbedc3d42e","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — Ana Cunningham","property","greystar-ana-cunningham","/partners/launch/buildings/greystar-ana-cunningham","39b2e63f902b8124858ee5bd4240f853","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — Brenda Holden","property","greystar-brenda-holden","/partners/launch/buildings/greystar-brenda-holden","39b2e63f902b816285cbfe1aea6adc43","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — Cody Newton","property","greystar-cody-newton","/partners/launch/buildings/greystar-cody-newton","39b2e63f902b813b9d7fdc95ad51020c","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — Dominique Saldana","property","greystar-dominique-saldana","/partners/launch/buildings/greystar-dominique-saldana","39b2e63f902b814d8fe9cc9820b45f18","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — Hannah Cummings","property","greystar-hannah-cummings","/partners/launch/buildings/greystar-hannah-cummings","39b2e63f902b81d28270f3de7abf5adb","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — James Matta","property","greystar-james-matta","/partners/launch/buildings/greystar-james-matta","39b2e63f902b81e1ab1de85b4bb2f70c","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — Jarrod Byer","property","greystar-jarrod-byer","/partners/launch/buildings/greystar-jarrod-byer","39b2e63f902b8193936de19ed3fdebc9","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Greystar — Melissa Rhoades","property","greystar-melissa-rhoades","/partners/launch/buildings/greystar-melissa-rhoades","39b2e63f902b8166b46fc1cdb104d04c","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Half Step","venue","half-step","/partners/launch/rainey/half-step","39b2e63f902b8180aad3eba9941dee6f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Heritage Boot","brand","heritage-boot","/partners/launch/brands/heritage-boot","39b2e63f902b81a6b78afe1ff515fbcf","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Hermès","brand","hermes","/partners/launch/brands/hermes","3a12e63f902b814abdc0f4b51c34b27a","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Hotel Van Zandt","civic","hotel-van-zandt","/partners/launch/civic/hotel-van-zandt","39b2e63f902b81d39db8f56b7d832b2e","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"How Suite It Is","brand","how-suite-it-is","/partners/launch/brands/how-suite-it-is","39b2e63f902b8197b172ff52cd6a5b72","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Icenhauer's","venue","icenhauer-s","/partners/launch/rainey/icenhauer-s","39b2e63f902b81e89b62cef9db775266","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"inKind Partner Layer","brand","inkind-partner-layer","/partners/launch/brands/inkind-partner-layer","39b2e63f902b81fd814cde25068b161e","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Jack Thuet — Worth Ross","individual","jack-thuet-worth-ross","/partners/launch/people/jack-thuet-worth-ross","3a12e63f902b81f9a282fa244bb47b8c","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"JMI Realty / Hilton Garden Inn Downtown","hotel","jmi-realty-hilton-garden-inn-downtown","/partners/launch/hotels/jmi-realty-hilton-garden-inn-downtown","3a12e63f902b81e0b87ed60bcdfd5e7f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Kairoi Residential","operator","kairoi-residential","/partners/launch/organizations/kairoi-residential","3a12e63f902b81448f91c515289aab04","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Kendra Scott","brand","kendra-scott","/partners/launch/brands/kendra-scott","3a12e63f902b813c8488fe7087975c78","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Kristie Braley — KMG Hotels","individual","kristie-braley-kmg-hotels","/partners/launch/people/kristie-braley-kmg-hotels","3a12e63f902b813d8e59c6d886ec6bbc","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Legends Residential Layer","brand","legends-residential-layer","/partners/launch/brands/legends-residential-layer","39b2e63f902b81aba7c2f72fc70843f4","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Lincoln Property Company","operator","lincoln-property-company","/partners/launch/organizations/lincoln-property-company","3a12e63f902b81a989abcaa96742fe47","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Little Brother / Bummer Burrito","venue","little-brother-bummer-burrito","/partners/launch/rainey/little-brother-bummer-burrito","39b2e63f902b8153a187cc002b9b3dfd","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Lucille","venue","lucille","/partners/launch/rainey/lucille","39b2e63f902b81b7bbe7fa7646f3a7f8","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"lululemon","brand","lululemon","/partners/launch/brands/lululemon","3a12e63f902b8117866cc1a110ac4ebe","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Lustre Pearl","venue","lustre-pearl","/partners/launch/rainey/lustre-pearl","39b2e63f902b819fb7b7d27b88aaeeb2","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Maufrais","brand","maufrais","/partners/launch/brands/maufrais","39b2e63f902b812b97aad05e96b31590","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Meg Alley — Urbanspace","individual","meg-alley-urbanspace","/partners/launch/people/meg-alley-urbanspace","3a12e63f902b81d783e0d5d436e72842","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Milago","property","milago","/partners/launch/buildings/milago","39b2e63f902b8186aec1f706300cb1b5","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"MML Hospitality","venue","mml-hospitality","/partners/launch/organizations/mml-hospitality","3a12e63f902b818ca5b1eb27f42218ee","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Modern Bar","venue","modern-bar","/partners/launch/venues/modern-bar","3a12e63f902b81e39fcee94698aa21c6","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Moonshine Patio Bar & Grill","venue","moonshine-patio-bar-and-grill","/partners/launch/rainey/moonshine-patio-bar-and-grill","39b2e63f902b81fbb208cb18e10b31da","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Morning Yoga at Waterloo Park","civic","morning-yoga-at-waterloo-park","/partners/launch/civic/morning-yoga-at-waterloo-park","39b2e63f902b81efacdeeaba1e248cff","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Nadeau Furniture Austin","venue","nadeau-furniture-austin","/partners/launch/rainey/nadeau-furniture-austin","39b2e63f902b819ebfcbc0007be23855","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Natiivo Austin","property","natiivo-austin","/partners/launch/buildings/natiivo-austin","39b2e63f902b81f0980ae27a44c3ef6b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Neighbors","venue","neighbors-waterline","/partners/launch/venues/neighbors-waterline","3a12e63f902b815ba4dde93f6a860089","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"New Waterloo","venue","new-waterloo","/partners/launch/organizations/new-waterloo","3a12e63f902b817fb32ad9d8517842f4","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Nina-approved condominium candidate","operator","nina-approved-condominium-candidate","/partners/launch/organizations/nina-approved-condominium-candidate","3a12e63f902b81819f10d543b3f7edb3","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Nina-approved multifamily community candidate","operator","nina-approved-multifamily-candidate","/partners/launch/organizations/nina-approved-multifamily-candidate","3a12e63f902b814d94cfc2d7d97d243d","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Nina-connected hospitality operator candidate","operator","nina-connected-hospitality-operator-candidate","/partners/launch/organizations/nina-connected-hospitality-operator-candidate","3a12e63f902b81dd8c9cd0b457b4ae67","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Northshore","property","northshore","/partners/launch/buildings/northshore","39b2e63f902b8196a098c108f07d7cca","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Old Sixth Street / Stream tenants","operator","old-sixth-street-stream-tenants","/partners/launch/organizations/old-sixth-street-stream-tenants","3a12e63f902b817a83f4d9d77b672817","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Paseo","property","paseo","/partners/launch/buildings/paseo","39b2e63f902b81a1994fcc22a2095c32","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Patagonia Austin","brand","patagonia-austin","/partners/launch/brands/patagonia-austin","39b2e63f902b813faa95d6a34a613e25","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Pease Park","civic","pease-park","/partners/launch/civic/pease-park","39b2e63f902b8126bb16cd462bbf41a0","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Pelóns Tex-Mex","venue","pel-ns-tex-mex","/partners/launch/rainey/pel-ns-tex-mex","39b2e63f902b81fa8086ea04df05ebd0","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Perks Card","brand","perks-card","/partners/launch/brands/perks-card","39b2e63f902b81b097ccf69f7f7376f3","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"QR Discovery Marker System","civic","qr-discovery-marker-system","/partners/launch/civic/qr-discovery-marker-system","39b2e63f902b81d480a3e697defe862a","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Rainey After-Work Dining Push","venue","rainey-after-work-dining-push","/partners/launch/rainey/rainey-after-work-dining-push","39b2e63f902b81ba9952e51715d88e08","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Rainey Street Historic District","civic","rainey-street-historic-district","/partners/launch/civic/rainey-street-historic-district","39b2e63f902b810f9c58ed00e90ed6f7","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"RECA","media","reca","/partners/launch/media/reca","3a12e63f902b8172bb9dcd2f818dc343","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Red River Cultural District","civic","red-river-cultural-district","/partners/launch/civic/red-river-cultural-district","39b2e63f902b81528d1ac79685b9343a","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Related Texas / 500 South Congress","operator","related-texas-500-south-congress","/partners/launch/organizations/related-texas-500-south-congress","3a12e63f902b8116bb55d5c6247a9699","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Republic Square","civic","republic-square","/partners/launch/civic/republic-square","39b2e63f902b8168a8a4dc5e44cfd0f7","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Resident Mixer","media","resident-mixer","/partners/launch/media/resident-mixer","39b2e63f902b81b5b50dd5c35415141f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Rikki Conner — Worth Ross","individual","rikki-conner-worth-ross","/partners/launch/people/rikki-conner-worth-ross","3a12e63f902b81fc829cceab9ce575df","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Rivian","brand","rivian","/partners/launch/brands/rivian","39b2e63f902b813987dee0445f1fdf86","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Rivian South Congress","brand","rivian-south-congress","/partners/launch/brands/rivian-south-congress","39b2e63f902b81849f27d7e3caea5727","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Romantic Spots Austin","media","romantic-spots-austin","/partners/launch/media/romantic-spots-austin","39b2e63f902b81539b53f32b2aa0b26b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Rooftop Pool & Cabana","brand","rooftop-pool-and-cabana","/partners/launch/brands/rooftop-pool-and-cabana","39b2e63f902b8170a3b0fa4c9ff99a9b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"ROOST Rainey","property","roost-rainey","/partners/launch/buildings/roost-rainey","39b2e63f902b8179a3bfe000b82367b5","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"RPM Living","operator","rpm-living","/partners/launch/organizations/rpm-living","3a12e63f902b812ca092fc0caeaf61ce","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"SaraMarie Blunt — Worth Ross","individual","saramarie-blunt-worth-ross","/partners/launch/people/saramarie-blunt-worth-ross","3a12e63f902b815280e4ccaa214a92d5","blocked","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Sixth & Blanco","operator","sixth-and-blanco","/partners/launch/organizations/sixth-and-blanco","3a12e63f902b81838c2bce23aa82d04d","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Sixth and Guadalupe coworking and subtenant ecosystem","operator","sixth-and-guadalupe-coworking","/partners/launch/organizations/sixth-and-guadalupe-coworking","3a12e63f902b81c6ba39da8050deb01f","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"SkyHouse Austin","property","skyhouse-austin","/partners/launch/buildings/skyhouse-austin","39b2e63f902b812aa940f57069cf862b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Spring Condominiums","property","spring-condominiums","/partners/launch/buildings/spring-condominiums","39b2e63f902b811ab192c7ce128992e0","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Stay in the Groove","brand","stay-in-the-groove","/partners/launch/brands/stay-in-the-groove","39b2e63f902b819e9532fadad23770e5","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Stay Put","venue","stay-put","/partners/launch/rainey/stay-put","39b2e63f902b8169a44ae25d3d7ba3ce","ready-with-review","No","approved copy; approved media","1","missing","Not yet assigned","2026-07-18"
"Stream Realty Partners","operator","stream-realty-partners","/partners/launch/organizations/stream-realty-partners","3a12e63f902b81baa186f385430dfd5d","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Sweetgreen 2nd Street","venue","sweetgreen-2nd-street","/partners/launch/rainey/sweetgreen-2nd-street","39b2e63f902b818a9722efb6c5712a68","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"SXSW","media","sxsw","/partners/launch/media/sxsw","3a12e63f902b8139b123d30af91bc156","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Tecovas","brand","tecovas","/partners/launch/brands/tecovas","39b2e63f902b813a869bdb0d18eceb1a","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Texas Resident Rate","brand","texas-resident-rate","/partners/launch/brands/texas-resident-rate","39b2e63f902b81b3af19de544d6a009b","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
"Texas-Sized Savings: Get 40% Off","brand","texas-sized-savings-get-40-off","/partners/launch/brands/texas-sized-savings-get-40-off","39b2e63f902b81df8c9ad61103d13f59","ready-with-review","No","approved copy; approved media","0","missing","Not yet assigned","2026-07-18"
