entity_id,image_path,media_role,alt_text,decorative,verification_status
"partner-yeti","/images/map-entities/brand-yeti/yeti-flagship-interior.jpg","retail","YETI's Austin flagship store interior.","false","verified"
"equinox","/images/reports/equinox-austin.jpg","retail","Equinox Austin in downtown Austin.","false","verified"
"partner-equinox","/images/reports/equinox-austin.jpg","retail","Equinox Austin in downtown Austin.","false","verified"
"fine-eyewear","/images/map-entities/brand-fine-eyewear/Oversized-Eyewear-1920w.webp","retail","Fine Eyewear optical collection in Austin.","false","verified"
"partner-fine-eyewear","/images/map-entities/brand-fine-eyewear/Oversized-Eyewear-1920w.webp","retail","Fine Eyewear optical collection in Austin.","false","verified"
"rivian","/images/imported/perks/rivian.png","mobility","Rivian electric vehicles in Austin.","false","verified"
"partner-rivian","/images/imported/perks/rivian.png","mobility","Rivian electric vehicles in Austin.","false","verified"
"heritage-boots","/images/map-entities/brand-heritage-boots/Boot-wars.jpg","retail","Heritage Boots western boot craftsmanship in Austin.","false","verified"
"partner-heritage-boots","/images/map-entities/brand-heritage-boots/Boot-wars.jpg","retail","Heritage Boots western boot craftsmanship in Austin.","false","verified"
"waterline","/images/reports/waterline-austin.jpg","building_exterior","Waterline tower at 98 Red River in downtown Austin.","false","verified"
"priority-the-waterline","/images/reports/waterline-austin.jpg","building_exterior","Waterline tower at 98 Red River in downtown Austin.","false","verified"
"waterloo-park","/images/map-entities/attached/civic/waterloo-park.jpeg","civic_space","Waterloo Park and Moody Amphitheater in downtown Austin.","false","verified"
"hotel-guest-arrival-route","/images/map-entities/rainey-bars/rainey-street.jpeg","route_cover","Rainey Street hotel guest walking route in downtown Austin.","false","verified"
