view,id,name,district,category,type,pin,address,listingOrPerk,panelMeta,panelHeadline,panelBody,detailCopy,primaryActions,image,source
"Resident","austin-proper-hotel-node-9421933813","Austin Proper Hotel","2nd Street","Hotel / Hospitality","hotel","Hotel","600, West 2nd Street, Austin, TX, 78701","Local Guest Guide","Hotel / Hospitality · 2nd Street","Austin Proper Hotel","Hotel / Hospitality listing operated by Proper Hospitality Group.","Resident perk: Local Guest Guide. Value: Neighborhood access. Staycation perks, partner-hosted events, and sponsor activations Use it: Save it, get directions, or ask about resident access when available.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","austin-proper-hotel-node-9421933813","Austin Proper Hotel","2nd Street","Hotel / Hospitality","hotel","Hotel","600, West 2nd Street, Austin, TX, 78701","Create Guest Guide","Hotel / Hospitality · 2nd Street","Austin Proper Hotel","Hotel / Hospitality listing operated by Proper Hospitality Group.","Partner view: Guests and residents nearby are looking for dinner, events, and easy walkable plans. Audience: Best fit: hotel guests, nearby residents, and visitors already walking through the area. Opportunity: Promote a concierge-style local guide or resident rate during late afternoon planning windows. Best timing: Strongest window: 3 PM to 8 PM Next move: Create Guest Guide","Create Guest Guide; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","burger-bar-node-4304618025","Burger Bar","2nd Street","Restaurant / Food","venue","Dining","110, East 2nd Street, Austin, TX, 78701","Dining Perk","Restaurant / Food · 2nd Street","Burger Bar","Restaurant / Food with cuisine focus: burger.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","burger-bar-node-4304618025","Burger Bar","2nd Street","Restaurant / Food","venue","Dining","110, East 2nd Street, Austin, TX, 78701","Create Map Plan","Restaurant / Food · 2nd Street","Burger Bar","Restaurant / Food with cuisine focus: burger.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Burger Bar easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","flower-child-node-5351338222","Flower Child","2nd Street","Restaurant / Food","venue","Dining","West 2nd Street, 78701","Dining Perk","Restaurant / Food · 2nd Street","Flower Child","Restaurant / Food listing in Downtown Austin.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","flower-child-node-5351338222","Flower Child","2nd Street","Restaurant / Food","venue","Dining","West 2nd Street, 78701","Create Map Plan","Restaurant / Food · 2nd Street","Flower Child","Restaurant / Food listing in Downtown Austin.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Flower Child easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","foxtrot-node-1539153968","Foxtrot","2nd Street","Retail / Business","venue","Civic","301, West 2nd Street, Austin, TX, 78701","Nearby Downtown Option","Retail / Business · 2nd Street","Foxtrot","Retail / Business listing in Downtown Austin.","Resident perk: Nearby Downtown Option. Value: Save it or go now. Resident discount programs and neighborhood shopping incentives Use it: Save it, get directions, or show your Downtown Perks Card if access is available.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","foxtrot-node-1539153968","Foxtrot","2nd Street","Retail / Business","venue","Civic","301, West 2nd Street, Austin, TX, 78701","Create Map Plan","Retail / Business · 2nd Street","Foxtrot","Retail / Business listing in Downtown Austin.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Foxtrot easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","golden-ace-node-1481848476","Golden Ace","2nd Street","Bar / Nightlife","venue","Nightlife","419, West 2nd Street, Austin, TX, 78701","Night Out Nearby","Bar / Nightlife · 2nd Street","Golden Ace","Bar / Nightlife listing in Downtown Austin.","Resident perk: Night Out Nearby. Value: Resident card access. Resident happy-hour perks, nightlife activations, and event check-ins Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","golden-ace-node-1481848476","Golden Ace","2nd Street","Bar / Nightlife","venue","Nightlife","419, West 2nd Street, Austin, TX, 78701","Promote Event","Bar / Nightlife · 2nd Street","Golden Ace","Bar / Nightlife listing in Downtown Austin.","Partner view: Residents are looking for nearby things to do without switching apps. Audience: Best fit: residents, guests, and groups already near the venue. Opportunity: Make the RSVP and directions path immediate from the map. Best timing: Strongest window: day-of and two hours before start Next move: Promote Event","Promote Event; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","partner-jos-coffee","Jo's Coffee","2nd Street","Venue / Coffee","venue","Coffee","242 W 2nd St, Austin TX, 78701","Upgrade to a Large Belgian Bomber","Venue / Coffee · 2nd Street","Jo's Coffee","Downtown coffee stop for morning resident routines.","Resident perk: Upgrade to a Large Belgian Bomber. Value: Upgrade to a Large Belgian Bomber. Downtown coffee stop for morning resident routines. Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/venues/downtown-dining-patio.png","Downtown Perks supplemental partner layer"
"Partner","partner-jos-coffee","Jo's Coffee","2nd Street","Venue / Coffee","venue","Coffee","242 W 2nd St, Austin TX, 78701","Create Map Plan","Venue / Coffee · 2nd Street","Jo's Coffee","Downtown coffee stop for morning resident routines.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Jo's Coffee easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","/images/venues/downtown-dining-patio.png","Downtown Perks supplemental partner layer"
"Resident","la-piscina-ceviches-fajitas-way-1021571018","La Piscina Ceviches & Fajitas","2nd Street","Restaurant / Food","venue","Dining","202, West 2nd Street, Austin, TX, 78701","Dining Perk","Restaurant / Food · 2nd Street","La Piscina Ceviches & Fajitas","Restaurant / Food with cuisine focus: mexican.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","la-piscina-ceviches-fajitas-way-1021571018","La Piscina Ceviches & Fajitas","2nd Street","Restaurant / Food","venue","Dining","202, West 2nd Street, Austin, TX, 78701","Create Map Plan","Restaurant / Food · 2nd Street","La Piscina Ceviches & Fajitas","Restaurant / Food with cuisine focus: mexican.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make La Piscina Ceviches & Fajitas easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","legends-real-estate-downtown-austin","Legends Real Estate","2nd Street","Brand / Real Estate","brand","Legends","2nd Street District, Austin, TX 78701","Resident Access","Brand / Real Estate · 2nd Street","Legends Real Estate","Want to live here? Browse downtown listings, see what is nearby, and ask Legends Real Estate for showing options when an address feels like a fit.","Resident perk: Resident Access. Value: Local partner moment. Want to live here? Browse downtown listings, see what is nearby, and ask Legends Real Estate for showing options when an address feels like a fit. Use it: Save it, get directions, or check the panel for resident access.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Downtown Perks brand partner layer"
"Partner","legends-real-estate-downtown-austin","Legends Real Estate","2nd Street","Brand / Real Estate","brand","Legends","2nd Street District, Austin, TX 78701","Plan Brand Moment","Brand / Real Estate · 2nd Street","Legends Real Estate","Want to live here? Browse downtown listings, see what is nearby, and ask Legends Real Estate for showing options when an address feels like a fit.","Partner view: People nearby are choosing what to do, where to go, and what feels useful today. Audience: Best fit: residents, visitors, and event-goers moving through 2nd Street. Opportunity: Place Legends Real Estate near the moments where the brand is useful, not just visible. Best timing: Strongest window: event days, weekends, and after-work planning Next move: Plan Brand Moment","Plan Brand Moment; Reports; Contact","","Downtown Perks brand partner layer"
"Resident","event-lobby-hour","Lobby Hour","2nd Street","Event / Happy Hour","event","Happy hour","The Paseo Lobby, Austin, TX 78701","Event RSVP","Event / Happy Hour · 2nd Street","Lobby Hour","A casual meet-up a couple blocks away. Drop in, meet a few neighbors, grab a drink, and let the night figure itself out.","Resident perk: Event RSVP. Value: Save or RSVP. A casual meet-up a couple blocks away. Drop in, meet a few neighbors, grab a drink, and let the night figure itself out. Use it: Save it to your card and check the event details before you go.","Call / Website / Email when available; Show Card; Save to Card; Directions","","Downtown Perks event layer"
"Partner","event-lobby-hour","Lobby Hour","2nd Street","Event / Happy Hour","event","Happy hour","The Paseo Lobby, Austin, TX 78701","Promote Event","Event / Happy Hour · 2nd Street","Lobby Hour","A casual meet-up a couple blocks away. Drop in, meet a few neighbors, grab a drink, and let the night figure itself out.","Partner view: Residents are looking for nearby things to do without switching apps. Audience: Best fit: residents, guests, and groups already near the venue. Opportunity: Make the RSVP and directions path immediate from the map. Best timing: Strongest window: day-of and two hours before start Next move: Promote Event","Promote Event; Reports; Contact","","Downtown Perks event layer"
"Resident","local-foods-node-3849778276","Local Foods","2nd Street","Restaurant / Food","venue","Dining","454, West 2nd Street, 78701","Dining Perk","Restaurant / Food · 2nd Street","Local Foods","Restaurant / Food with cuisine focus: sandwich;american.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","local-foods-node-3849778276","Local Foods","2nd Street","Restaurant / Food","venue","Dining","454, West 2nd Street, 78701","Create Map Plan","Restaurant / Food · 2nd Street","Local Foods","Restaurant / Food with cuisine focus: sandwich;american.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Local Foods easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","partner-lululemon","lululemon","2nd Street","Brand / Wellness","brand","Campaign","Downtown Austin, TX 78701","Private resident run club events & early access","Brand / Wellness · 2nd Street","lululemon","Wellness retail partner for resident run clubs and early access.","Resident perk: Private resident run club events & early access. Value: Private resident run club events & early access. Wellness retail partner for resident run clubs and early access. Use it: Save it to your card and check the event details before you go.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/brands/stay-put-sign.jpg","Downtown Perks supplemental partner layer"
"Partner","partner-lululemon","lululemon","2nd Street","Brand / Wellness","brand","Campaign","Downtown Austin, TX 78701","Plan Brand Moment","Brand / Wellness · 2nd Street","lululemon","Wellness retail partner for resident run clubs and early access.","Partner view: People nearby are choosing what to do, where to go, and what feels useful today. Audience: Best fit: residents, visitors, and event-goers moving through 2nd Street. Opportunity: Place lululemon near the moments where the brand is useful, not just visible. Best timing: Strongest window: event days, weekends, and after-work planning Next move: Plan Brand Moment","Plan Brand Moment; Reports; Contact","/images/brands/stay-put-sign.jpg","Downtown Perks supplemental partner layer"
"Resident","north-italia-node-5351366521","North Italia","2nd Street","Restaurant / Food","venue","Dining","West 2nd Street, 78701","Dining Perk","Restaurant / Food · 2nd Street","North Italia","Restaurant / Food listing in Downtown Austin.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","north-italia-node-5351366521","North Italia","2nd Street","Restaurant / Food","venue","Dining","West 2nd Street, 78701","Create Map Plan","Restaurant / Food · 2nd Street","North Italia","Restaurant / Food listing in Downtown Austin.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make North Italia easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","partner-optique-austin","Optique Austin","2nd Street","Service / Eyewear","service","Retail","Downtown Austin, TX 78701","Free basic frame adjustment for residents","Service / Eyewear · 2nd Street","Optique Austin","Downtown eyewear service with a resident-friendly quick stop.","Resident perk: Free basic frame adjustment for residents. Value: Free basic frame adjustment for residents. Downtown eyewear service with a resident-friendly quick stop. Use it: Save it, get directions, or show your Downtown Perks Card if access is available.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/map-entities/brand-fine-eyewear/ochialli.webp","Downtown Perks supplemental partner layer"
"Partner","partner-optique-austin","Optique Austin","2nd Street","Service / Eyewear","service","Retail","Downtown Austin, TX 78701","Create Map Plan","Service / Eyewear · 2nd Street","Optique Austin","Downtown eyewear service with a resident-friendly quick stop.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Optique Austin easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","/images/map-entities/brand-fine-eyewear/ochialli.webp","Downtown Perks supplemental partner layer"
"Resident","the-peacock-node-8581202370","The Peacock","2nd Street","Restaurant / Food","venue","Dining","600, West 2nd Street, Austin, TX, 78701","Dining Perk","Restaurant / Food · 2nd Street","The Peacock","Restaurant / Food with cuisine focus: mediterranean.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","the-peacock-node-8581202370","The Peacock","2nd Street","Restaurant / Food","venue","Dining","600, West 2nd Street, Austin, TX, 78701","Create Map Plan","Restaurant / Food · 2nd Street","The Peacock","Restaurant / Food with cuisine focus: mediterranean.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make The Peacock easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","the-well-node-11873243569","The Well","2nd Street","Restaurant / Food","venue","Dining","440, West 2nd Street, 78701","Dining Perk","Restaurant / Food · 2nd Street","The Well","Restaurant / Food listing in Downtown Austin.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","the-well-node-11873243569","The Well","2nd Street","Restaurant / Food","venue","Dining","440, West 2nd Street, 78701","Create Map Plan","Restaurant / Food · 2nd Street","The Well","Restaurant / Food listing in Downtown Austin.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make The Well easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","uchib-node-9655018609","Uchibā","2nd Street","Restaurant / Food","venue","Dining","601, West 2nd Street, Austin, TX, 78701","Dining Perk","Restaurant / Food · 2nd Street","Uchibā","Restaurant / Food with cuisine focus: japanese.","Resident perk: Dining Perk. Value: Resident card access. Resident dining offers, specials, and repeat-visit campaigns Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","uchib-node-9655018609","Uchibā","2nd Street","Restaurant / Food","venue","Dining","601, West 2nd Street, Austin, TX, 78701","Create Map Plan","Restaurant / Food · 2nd Street","Uchibā","Restaurant / Food with cuisine focus: japanese.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Uchibā easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","upstairs-circus-node-8858558303","Upstairs Circus","2nd Street","Bar / Nightlife","venue","Nightlife","234, West 2nd Street, Austin, TX, 78701","Night Out Nearby","Bar / Nightlife · 2nd Street","Upstairs Circus","Bar / Nightlife listing in Downtown Austin.","Resident perk: Night Out Nearby. Value: Resident card access. Resident happy-hour perks, nightlife activations, and event check-ins Use it: Show your Downtown Perks Card when a resident offer is active.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","upstairs-circus-node-8858558303","Upstairs Circus","2nd Street","Bar / Nightlife","venue","Nightlife","234, West 2nd Street, Austin, TX, 78701","Promote Event","Bar / Nightlife · 2nd Street","Upstairs Circus","Bar / Nightlife listing in Downtown Austin.","Partner view: Residents are looking for nearby things to do without switching apps. Audience: Best fit: residents, guests, and groups already near the venue. Opportunity: Make the RSVP and directions path immediate from the map. Best timing: Strongest window: day-of and two hours before start Next move: Promote Event","Promote Event; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","urban-outfitters-node-3849777659","Urban Outfitters","2nd Street","Retail / Business","venue","Civic","320, West 2nd Street, Austin, TX, 78701","Nearby Downtown Option","Retail / Business · 2nd Street","Urban Outfitters","Retail / Business listing operated by Urban Outfitters.","Resident perk: Nearby Downtown Option. Value: Save it or go now. Resident discount programs and neighborhood shopping incentives Use it: Save it, get directions, or show your Downtown Perks Card if access is available.","Call / Website / Email when available; Show Card; Save to Card; Directions","","OpenStreetMap / Overpass"
"Partner","urban-outfitters-node-3849777659","Urban Outfitters","2nd Street","Retail / Business","venue","Civic","320, West 2nd Street, Austin, TX, 78701","Create Map Plan","Retail / Business · 2nd Street","Urban Outfitters","Retail / Business listing operated by Urban Outfitters.","Partner view: People nearby are deciding where to go next. Audience: Best fit: residents, guests, and visitors already close to 2nd Street. Opportunity: Make Urban Outfitters easy to save, find, and act on from the map. Best timing: Strongest window: lunch, after work, and weekend planning Next move: Create Map Plan","Create Map Plan; Reports; Contact","","OpenStreetMap / Overpass"
"Resident","legends-real-estate-200-congress-ave-15e","200 Congress Ave # 15E","Congress","Legends Real Estate / For Sale","property","Legends","200 Congress Ave # 15E, Austin TX, 78701","Platinum Resident Membership","Legends Real Estate / For Sale · Congress","200 Congress Ave # 15E","Downtown residence at the center of Congress Avenue, hospitality, and walkable local access.","Resident perk: Platinum Resident Membership. Value: Platinum Resident Membership. Downtown residence at the center of Congress Avenue, hospitality, and walkable local access. Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Partner","legends-real-estate-200-congress-ave-15e","200 Congress Ave # 15E","Congress","Legends Real Estate / For Sale","property","Legends","200 Congress Ave # 15E, Austin TX, 78701","Create Property Plan","Legends Real Estate / For Sale · Congress","200 Congress Ave # 15E","Downtown residence at the center of Congress Avenue, hospitality, and walkable local access.","Partner view: Residents and prospects use this area to understand what daily life feels like around the building. Audience: Best fit: current residents, people looking at the building, brokers, and nearby businesses. Opportunity: Attach nearby perks, events, and walkable recommendations to the property story. Best timing: Strongest window: weekday lunch and after-work planning Next move: Create Property Plan","Create Property Plan; Reports; Contact","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Resident","legends-real-estate-555-e-5th-st-2809","555 E 5th ST # 2809","Congress","Legends Real Estate / For Sale","property","Legends","555 E 5th ST # 2809, Austin TX, 78701","Hotel Privilege Pass Activation","Legends Real Estate / For Sale · Congress","555 E 5th ST # 2809","Downtown residence near core hospitality, events, and daily-use neighborhood access.","Resident perk: Hotel Privilege Pass Activation. Value: Hotel Privilege Pass Activation. Downtown residence near core hospitality, events, and daily-use neighborhood access. Use it: Use the contact option to ask about availability, showings, or similar downtown homes.","Call / Website / Email when available; Show Card; Save to Card; Directions","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
"Partner","legends-real-estate-555-e-5th-st-2809","555 E 5th ST # 2809","Congress","Legends Real Estate / For Sale","property","Legends","555 E 5th ST # 2809, Austin TX, 78701","Create Guest Guide","Legends Real Estate / For Sale · Congress","555 E 5th ST # 2809","Downtown residence near core hospitality, events, and daily-use neighborhood access.","Partner view: Guests and residents nearby are looking for dinner, events, and easy walkable plans. Audience: Best fit: hotel guests, nearby residents, and visitors already walking through the area. Opportunity: Promote a concierge-style local guide or resident rate during late afternoon planning windows. Best timing: Strongest window: 3 PM to 8 PM Next move: Create Guest Guide","Create Guest Guide; Reports; Contact","/images/properties/bowie-attached.jpg","Downtown Perks supplemental partner layer"
