record_status,entity_id,name,district,building_type,operating_status,pin_key,pin_label,pin_asset_path,listing_brand_property_business_overview,resident_panel_copy,partner_panel_copy,shared_amenities,resident_perk,secret_sauce,hidden_gem,campaign_alignment,resident_actions,partner_actions,resident_context_labels,partner_context_labels,search_tags,source_url,verification_status
residential_mixed_use_copy_deck,the-independent,The Independent,Seaholm,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"An iconic residential tower in Seaholm with immediate access to the trail, Whole Foods, Trader Joe’s, the Central Library, 2nd Street, and west downtown.","The Independent is for residents who want downtown scale with a highly practical neighborhood below. Groceries, the library, the lake, fitness, dining, and workday errands are all part of the walkable loop.",Lead with Seaholm utility and resident routines. The strongest partnerships are not novelty perks; they are services and experiences residents use repeatedly.,Extensive resident amenity levels; pools; fitness and wellness; lounges; business and gathering spaces; pet facilities; concierge and resident services,Proposed: Seaholm essentials; library and cultural programming; grocery and meal-prep offers; trail and recovery; family-friendly weekend guide,One of downtown’s most complete everyday neighborhoods sits directly below the building.,Central Library terrace; Seaholm lawn moments; westward trail access; quiet weekday 2nd Street dining.,Seaholm everyday; Library to lake; Resident essentials; West downtown without a car; Sunday reset,Open Seaholm guide | Explore nearby | View perks | Save | Contact property,Launch routine campaign | Manage resident benefits | View engagement | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Seaholm; residential; mixed use; amenities; resident perks; downtown Austin; The Independent,https://theindependentaustin.com/,Property facts and current amenity access require confirmation
residential_mixed_use_copy_deck,fifth-and-west,Fifth & West,Market District / West Downtown,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A slender luxury condominium tower positioned between the Market District, Seaholm, Whole Foods, downtown offices, and the trail.","Fifth & West offers a polished home base with unusually fast access to groceries, work, the lake, dining, and west downtown’s quieter streets.","Position around refined convenience, privacy, and proximity. Campaigns should be discreet and high-value rather than volume-led.","Verify current building inventory; expected concierge, fitness, pool, lounges, guest and resident service spaces",Proposed: private dining access; grocery and home services; wellness and recovery; visiting-guest hotel offers; curated cultural memberships,The building sits at the hinge between downtown intensity and the calmer Market District.,Walk to Whole Foods and BookPeople; Seaholm and library access; west-downtown dinner routes.,The west side of downtown; Resident concierge edit; Market District essentials; Hosting made easier,Open neighborhood guide | Explore perks | Save | Contact property,Launch premium campaign | Manage services | View audience | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Market District / West Downtown; residential; mixed use; amenities; resident perks; downtown Austin; Fifth & West,https://fifthandwest.com/,Official/current building details should be verified
residential_mixed_use_copy_deck,the-austonian,The Austonian,Congress / Downtown Core,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A landmark downtown condominium tower centered on high-touch service, privacy, expansive views, and direct access to Congress Avenue, dining, culture, and the lake.","The Austonian places residents at the center of downtown while maintaining a private, service-led experience above it. Congress, 2nd Street, the lake, dining, and cultural venues are all close.","Use a restrained, concierge-grade campaign model. Prioritize verified access, privacy, premium service, and high-value local relationships.",Concierge and valet; fitness and spa-style facilities; pools and outdoor areas; resident lounges; guest suites; private event and dining spaces,Proposed: concierge cultural calendar; premium dining access; guest-stay support; private wellness; luxury mobility and home services,Immediate downtown access without sacrificing privacy or service.,Early Congress walks; intimate pre-show dining; quiet access to 2nd Street and the lake before event crowds.,"Congress, curated; Resident cultural season; Hosting downtown; Private access edit",Open curated guide | Explore nearby | Save | Contact property,Launch concierge campaign | Manage premium benefits | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Congress / Downtown Core; residential; mixed use; amenities; resident perks; downtown Austin; The Austonian,https://theaustonian.com/,Verify current amenities and access with property management
residential_mixed_use_copy_deck,360-condominiums,360 Condominiums,Market District / West Downtown,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A centrally located residential tower close to the Market District, 2nd Street, Seaholm, the Central Library, and downtown offices.","360 makes central downtown living practical. The building sits within an easy walk of groceries, restaurants, entertainment, the library, the trail, and major offices.",Lead with location utility and resident frequency. Offers should support everyday behavior rather than only occasional luxury experiences.,Pool; fitness; resident lounges and gathering areas; concierge or front-desk services; outdoor spaces; parking,Proposed: daily coffee and lunch; grocery support; entertainment night bundles; bike and trail services; resident home services,A highly central address that can reach several downtown districts without committing to one.,"Fast connections to Seaholm, Market District, 2nd Street, ACL Live, and the library.","Four districts, one address; Everyday downtown; Resident lunch loop; Show-night guide",Open central guide | Explore nearby | View perks | Save,Launch local routine campaign | Manage benefits | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Market District / West Downtown; residential; mixed use; amenities; resident perks; downtown Austin; 360 Condominiums,https://austin.towers.net/condos/360-condominiums/,Secondary source; verify current property operations
residential_mixed_use_copy_deck,spring-condominiums,Spring Condominiums,Market District / West Downtown,Condominium tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A west downtown condominium tower with a calmer residential position near Whole Foods, BookPeople, Shoal Creek, Seaholm, and downtown offices.","Spring gives residents a quieter downtown address with strong access to daily essentials, trails, groceries, and the Market District.","Focus on calm convenience, wellness, and local routine. Avoid forcing a nightlife narrative onto the building.",Pool; fitness; resident common spaces; parking; concierge or controlled access; outdoor areas,Proposed: BookPeople and cultural offers; grocery and meal services; Shoal Creek movement guide; wellness and recovery; pet services,A more residential western edge of downtown with the city still within walking distance.,Shoal Creek connections; BookPeople events; Whole Foods routines; quiet west-side cafés.,"The calm side of downtown; Market District morning; Read, walk, reset; Resident wellness loop",Open west downtown guide | Explore nearby | Save | Contact property,Launch neighborhood campaign | Manage resident offers | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Market District / West Downtown; residential; mixed use; amenities; resident perks; downtown Austin; Spring Condominiums,https://austin.towers.net/condos/spring/,Secondary source; verify current details
residential_mixed_use_copy_deck,austin-proper-residences,Austin Proper Residences,Seaholm,Branded hotel residences / mixed-use,Existing,property,Branded residences,/pins/circular/categories/residential.svg,"Branded residences integrated with Austin Proper’s hospitality, dining, wellness, design, and Seaholm location.","Austin Proper Residences combines a private home with a design-led hotel ecosystem. Residents can move between Seaholm, the trail, downtown dining, wellness, and hospitality services with minimal friction.","Separate verified resident privileges from public hotel experiences. Campaigns should emphasize service, design, dining, wellness, and visiting-guest support.",Residence-specific amenities plus potential hotel service relationships; fitness and wellness; pools; lounges; concierge; dining and hospitality adjacency,Proposed: verified hotel dining and wellness benefits; visiting-family rates; resident priority reservations; cultural and design programming,The strongest design-and-hospitality residential ecosystem in Seaholm when access is handled correctly.,Sunset Seaholm walks; early dining windows; resident wellness scheduling; Central Library and trail loop.,Properly at home; Resident dining edit; Friends in town; Design week; Seaholm wellness,Open residence guide | View verified hotel benefits | Explore nearby | Save,Verify privileges | Launch branded residence campaign | View engagement | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Seaholm; residential; mixed use; amenities; resident perks; downtown Austin; Austin Proper Residences,https://www.marriott.com/en-us/hotels/ausds-austin-proper-hotel-a-member-of-design-hotels/,Hotel source; residence-specific access requires direct verification
residential_mixed_use_copy_deck,four-seasons-residences,Four Seasons Residences Austin,Congress / Lakefront,Branded hotel residences,Existing,property,Branded residences,/pins/circular/categories/residential.svg,"Lakefront branded residences connected to the Four Seasons Austin service and hospitality ecosystem, with direct access to Congress, the trail, dining, events, and the lake.",Four Seasons Residences offers a private lakefront home supported by a globally recognized hospitality environment and one of downtown’s most walkable locations.,"Use a verified, service-led model. Never imply unrestricted hotel access; document every resident benefit and operational owner.",Residence amenities; concierge and service; fitness and wellness; pool and outdoor spaces; hotel dining and hospitality adjacency,"Proposed: verified dining, spa, and hotel privileges; guest-stay support; lakefront wellness; premium event and cultural access",A lakefront residential address with hotel-level service and immediate downtown access.,Early trail access; lake lawn moments; pre-event dining; Congress and arts routes.,"Lakefront, handled; Resident wellness; Hosting with Four Seasons; Congress cultural calendar",Open residence guide | View verified benefits | Explore nearby | Save,Verify access | Launch premium resident campaign | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Congress / Lakefront; residential; mixed use; amenities; resident perks; downtown Austin; Four Seasons Residences Austin,https://www.fourseasons.com/residences/private_residences/austin/,Official brand source; local operational privileges require verification
residential_mixed_use_copy_deck,the-catherine,The Catherine,South Central / Downtown edge,Luxury rental tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A luxury apartment tower on the south side of Lady Bird Lake with immediate access to the trail, South Congress, downtown, and lake views.","The Catherine offers a rare two-sided lifestyle: downtown is across the bridge, while South Congress, the trail, and a more relaxed south-side rhythm are close at hand.","Position as a bridge property connecting downtown and South Congress. Campaigns should support movement, dining, outdoor life, and workday access.",Pool; fitness; lounges; coworking or business spaces; pet amenities; outdoor terraces; resident services,Proposed: South Congress dining; trail and recovery; paddle and outdoor benefits; downtown event routes; bike services,Residents can choose downtown or South Congress without needing to live inside either one.,Sunrise bridge walks; south-shore trail access; weekday South Congress dining; easy downtown event nights.,Two sides of Austin; Bridge-to-brunch; Trail and city; South shore resident guide,Open two-district guide | Explore nearby | Save | Contact leasing,Launch cross-district campaign | Manage resident offers | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,South Central / Downtown edge; residential; mixed use; amenities; resident perks; downtown Austin; The Catherine,https://www.thecatherineaustin.com/,Verify current amenity inventory
residential_mixed_use_copy_deck,northshore,Northshore,Seaholm / 2nd Street,Mixed-use rental tower,Existing,property,Mixed-use residential,/pins/circular/categories/residential.svg,"A residential tower integrated with the 2nd Street and Seaholm environment, close to the Central Library, Trader Joe’s, dining, retail, offices, and the lake.","Northshore puts everyday downtown needs within a compact walk. Groceries, the library, work, dining, retail, and the lake can all fit into one resident routine.",Build campaigns around repeat utility and mixed-use behavior. Resident value should come from time saved and neighborhood confidence.,Pool; fitness; resident lounges; coworking; pet amenities; outdoor spaces; concierge and package services,Proposed: 2nd Street retail offers; Central Library cultural programming; Trader Joe’s and grocery routines; coworking coffee; event-night dining,"A highly usable location at the seam of 2nd Street, Seaholm, and the lake.",Library rooftop; Seaholm and Trader Joe’s loop; quieter early-evening 2nd Street.,Northshore everyday; Library-to-lake; 2nd Street resident edit; Workday made local,Open neighborhood guide | Explore retail | View perks | Save,Launch mixed-use campaign | Manage retail offers | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Seaholm / 2nd Street; residential; mixed use; amenities; resident perks; downtown Austin; Northshore,https://northshoreaustin.com/,Verify current amenities and retail relationships
residential_mixed_use_copy_deck,the-monarch,The Monarch by Windsor,Market District / West Downtown,Luxury rental tower,Existing,property,Residential,/pins/circular/categories/residential.svg,"A west downtown apartment tower near Whole Foods, BookPeople, Shoal Creek, offices, and downtown dining.","The Monarch offers a practical west-downtown routine with groceries, books, work, fitness, and dining nearby—close to the center without living directly in the event core.","Position around resident routine, west-downtown calm, and local retention. Offers should feel useful and repeatable.",Pool; fitness; resident lounges; business or coworking spaces; pet amenities; outdoor areas; parking and resident services,Proposed: Whole Foods and meal support; BookPeople cultural guide; wellness and fitness; pet care; Shoal Creek and trail routes,"Daily essentials are closer than the entertainment district, which is exactly the point.",West 6th weekday dining; BookPeople events; Shoal Creek route; grocery-first resident routines.,"West downtown works; Resident essentials; Books, food, movement; Quietly central",Open west downtown guide | Explore nearby | View perks | Save,Launch local retention campaign | Manage benefits | View reports,Shared amenities | Resident perks | Nearby essentials | Hidden gems | Events nearby,Resident value | Amenity engagement | Campaign opportunity | Audience | Reporting,Market District / West Downtown; residential; mixed use; amenities; resident perks; downtown Austin; The Monarch by Windsor,https://www.windsorcommunities.com/properties/the-monarch-by-windsor/,Verify current branding and amenity inventory
