id,name,type,category,partnerType,brand,district,latitude,longitude,address,sourceLayer,currentPinKey,currentPinAsset,recommendedPinKey,recommendedPinAsset,pinStatus,imageSource,currentImage,imageStatus,imageNotes,imageDirection,recommendedPanelCopy,sourceNotes,priority
geraldines,Geraldine's,venue,food,venue,,Rainey,30.2574,-97.738,"605 Davis St, Austin, TX",venue,dining,/pins/circular/categories/dining.svg,dining,/pins/circular/categories/dining.svg,OK,entity,/images/partner/drop-in-images/inkind-plated-dinner.jpg,OK,Image source looks usable from CSV only.,"Use patio, plate, table, or venue atmosphere imagery with resident social energy.","Geraldine's is a food stop in Rainey. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
le-cafe-crepe,Le Café Crêpe,coffee,coffee,venue,,Congress,30.2636,-97.7415,"200 San Jacinto Blvd, Austin, TX",coffee,dining,/pins/circular/categories/dining.svg,coffee,/pins/circular/categories/coffee.svg,Update recommended,entity,/images/partner_coffee_shop_1779052868356.png,OK,Image source looks usable from CSV only.,"Use bright morning café imagery: counter, cup, pastry, natural light; resident routine energy.","Le Café Crêpe is a coffee stop in Congress. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
merit-coffee,Merit Coffee,coffee,coffee,venue,,Seaholm,30.2675,-97.751,"222 West Ave, Austin, TX",coffee,dining,/pins/circular/categories/dining.svg,coffee,/pins/circular/categories/coffee.svg,Update recommended,entity,/images/partner_coffee_shop_1779052868356.png,OK,Image source looks usable from CSV only.,"Use bright morning café imagery: counter, cup, pastry, natural light; resident routine energy.","Merit Coffee is a coffee stop in Seaholm. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
trader-joes,Trader Joe's,retail,retail,retail,,Seaholm,30.2673,-97.7527,"211 Walter Seaholm Dr, Austin, TX",retail,retail,/pins/circular/categories/retail.svg,retail,/pins/circular/categories/retail.svg,OK,entity,/images/commercial_street_level_1779052788888.png,OK,Image source looks usable from CSV only.,Use clean storefront or product-detail imagery with a neighborhood errand feel.,"Trader Joe's is a retail stop in Seaholm. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
royal-blue-grocery,Royal Blue Grocery,retail,retail,retail,,Congress,30.2653,-97.7416,"301 Brazos St, Austin, TX",retail,retail,/pins/circular/categories/retail.svg,retail,/pins/circular/categories/retail.svg,OK,entity,/images/commercial_street_level_1779052788888.png,OK,Image source looks usable from CSV only.,Use clean storefront or product-detail imagery with a neighborhood errand feel.,"Royal Blue Grocery is a retail stop in Congress. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
acl-live,ACL Live,event,event,venue,,Warehouse,30.265,-97.7472,"310 W Willie Nelson Blvd, Austin, TX",event,dining,/pins/circular/categories/dining.svg,event,/pins/circular/categories/events.svg,Update recommended,entity,/images/moody_theater_live_music_1779052684229.png,OK,Image source looks usable from CSV only.,Use event atmosphere tied to venue/context; include subtle scheduled-experience feel.,"ACL Live is a resident event in Warehouse. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
bookpeople,BookPeople,retail,retail,retail,,West Downtown,30.2712,-97.7536,"603 N Lamar Blvd, Austin, TX",retail,retail,/pins/circular/categories/retail.svg,retail,/pins/circular/categories/retail.svg,OK,entity,/images/downtown_art_walk_1779052670656.png,OK,Image source looks usable from CSV only.,Use clean storefront or product-detail imagery with a neighborhood errand feel.,"BookPeople is a retail stop in West Downtown. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
castle-hill-fitness,Castle Hill Fitness,fitness,wellness,venue,,West Downtown,30.276,-97.7527,"1112 N Lamar Blvd, Austin, TX",fitness,dining,/pins/circular/categories/dining.svg,wellness,/pins/circular/categories/fitness.svg,Update recommended,entity,/images/brands/lululemon-yoga-stage.webp,OK,Image source looks usable from CSV only.,"Use calm active lifestyle or studio imagery; premium wellness, not gym stock-photo energy.","Castle Hill Fitness is a wellness stop in West Downtown. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
equinox,Equinox,fitness,wellness,venue,,Congress,30.251,-97.749,"1007 S Congress Ave, Austin, TX",fitness,dining,/pins/circular/categories/dining.svg,wellness,/pins/circular/categories/fitness.svg,Update recommended,entity,/images/partner_wellness_1779052883675.png,OK,Image source looks usable from CSV only.,"Use calm active lifestyle or studio imagery; premium wellness, not gym stock-photo energy.","Equinox is a wellness stop in Congress. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
austin-proper,Austin Proper,hotel,hotel,hotel,,Seaholm,30.266281,-97.750109,"600 W 2nd St, Austin, TX",hotel,hotel,/pins/circular/categories/hotels.svg,hotel,/pins/circular/categories/hotels.svg,OK,entity,/images/seaholm_coworking_1779052742037.png,OK,Image source looks usable from CSV only.,"Use official hotel lobby, pool, exterior, or hospitality detail image for that exact property.","Austin Proper is a hospitality anchor in Seaholm. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
natiivo,Natiivo,building,property,property,,Rainey,30.2569,-97.7386,"48 East Ave, Austin, TX",property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,entity,/images/austonian_lobby_1779052725341.png,OK,Image source looks usable from CSV only.,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","Natiivo is a residential property in Rainey. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
austin-marriott-downtown,Austin Marriott Downtown,hotel,hotel,hotel,,Congress,30.2631,-97.741,"304 E Cesar Chavez St, Austin, TX",hotel,hotel,/pins/circular/categories/hotels.svg,hotel,/pins/circular/categories/hotels.svg,OK,entity,/images/hospitality/FVYZlJYG9EOdXp31bh8GIkk3w6mSV8U8I1d9Zqofl--jqIENgWsuqVYVSszwDnFwze8BBSM4tzTLq2Uch3eNsNN7jLRha9DXMuJzwOPIu6IS3i4KPsJjwWZhQG2_2udJyaVJSu7yMNnkDqcXa6Ni_h8cHea5qSaBgHQQcnKPXlD7NqsIYGDxz2TQ1IACJQRP.jpeg,OK,Image source looks usable from CSV only.,"Use official hotel lobby, pool, exterior, or hospitality detail image for that exact property.","Austin Marriott Downtown is a hospitality anchor in Congress. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
waterloo-park,Waterloo Park,community,community,civic,,East Downtown,30.2736,-97.7352,"500 E 12th St, Austin, TX",community,civic,/pins/circular/categories/civic.svg,civic,/pins/circular/categories/civic.svg,OK,entity,/images/brands/lululemon-yoga-stage.webp,OK,Image source looks usable from CSV only.,"Use streetscape, park, trail, or civic programming imagery with walkable downtown context.","Waterloo Park is a community anchor in East Downtown. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
antones,Antone's,culture,culture,venue,,East Downtown,30.2666,-97.7394,"305 E 5th St, Austin, TX",culture,dining,/pins/circular/categories/dining.svg,art,/pins/circular/categories/culture.svg,Update recommended,entity,/images/moody_theater_live_music_1779052684229.png,OK,Image source looks usable from CSV only.,"Use marquee, stage, gallery, or installation imagery. Keep it editorial and downtown-specific.","Antone's is a culture anchor in East Downtown. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
the-contemporary-austin,The Contemporary Austin,culture,culture,civic,,Congress,30.269,-97.7428,"700 Congress Ave, Austin, TX",culture,civic,/pins/circular/categories/civic.svg,art,/pins/circular/categories/culture.svg,Update recommended,entity,/images/downtown_art_walk_1779052670656.png,OK,Image source looks usable from CSV only.,"Use marquee, stage, gallery, or installation imagery. Keep it editorial and downtown-specific.","The Contemporary Austin is a culture anchor in Congress. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
press-cleaners,Press Cleaners,retail,retail,retail,,West Downtown,30.2664,-97.7468,"Downtown Austin, TX",retail,retail,/pins/circular/categories/retail.svg,retail,/pins/circular/categories/retail.svg,OK,entity,/images/partner_hotel_rooftop_1779052803267.png,OK,Image source looks usable from CSV only.,Use clean storefront or product-detail imagery with a neighborhood errand feel.,"Press Cleaners is a retail stop in West Downtown. Save it, get directions, and view nearby resident perks.",No major source issue in CSV.,P2
rainey-food-drink-loop,Rainey Street Food + Drink Loop,event,event,venue,,Rainey,30.2588,-97.7384,"Rainey Street, Austin, TX",event,dining,/pins/circular/categories/dining.svg,event,/pins/circular/categories/events.svg,Update recommended,entity,/images/partner_dining_patio_1779052819620.png,OK,Image source looks usable from CSV only.,Use event atmosphere tied to venue/context; include subtle scheduled-experience feel.,"Rainey Street Food + Drink Loop is a resident event in Rainey. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
stand-up-showcase-comedy-mothership,Stand-Up Showcase at Comedy Mothership,event,event,venue,,East Downtown,30.2676,-97.7385,"320 E 6th St, Austin, TX",event,dining,/pins/circular/categories/dining.svg,event,/pins/circular/categories/events.svg,Update recommended,entity,/images/downtown_art_walk_1779052670656.png,OK,Image source looks usable from CSV only.,Use event atmosphere tied to venue/context; include subtle scheduled-experience feel.,"Stand-Up Showcase at Comedy Mothership is a resident event in East Downtown. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
resident-mixer-lustre-pearl,Resident Mixer Night at Lustre Pearl,event,event,venue,,Rainey,30.2584,-97.7388,"94 Rainey St, Austin, TX",event,dining,/pins/circular/categories/dining.svg,event,/pins/circular/categories/events.svg,Update recommended,entity,/images/events/resident-mixer-cool-night.jpeg,OK,Image source looks usable from CSV only.,Use event atmosphere tied to venue/context; include subtle scheduled-experience feel.,"Resident Mixer Night at Lustre Pearl is a resident event in Rainey. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
contemporary-members-night,Contemporary Austin Gallery Members Night,event,event,civic,,Congress,30.269,-97.7428,"700 Congress Ave, Austin, TX",event,civic,/pins/circular/categories/civic.svg,event,/pins/circular/categories/events.svg,Update recommended,entity,/images/downtown_art_walk_1779052670656.png,OK,Image source looks usable from CSV only.,Use event atmosphere tied to venue/context; include subtle scheduled-experience feel.,"Contemporary Austin Gallery Members Night is a resident event in Congress. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
morning-yoga-waterloo-park,Morning Yoga at Waterloo Park,event,event,civic,,East Downtown,30.2736,-97.7352,"500 E 12th St, Austin, TX",event,civic,/pins/circular/categories/civic.svg,event,/pins/circular/categories/events.svg,Update recommended,entity,/images/events/morning-yoga-waterloo.jpeg,OK,Image source looks usable from CSV only.,Use event atmosphere tied to venue/context; include subtle scheduled-experience feel.,"Morning Yoga at Waterloo Park is a resident event in East Downtown. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
craft-cocktail-masterclass-half-step,Craft Cocktail Masterclass at Half Step,event,event,venue,,Rainey,30.2592,-97.7385,"75 1/2 Rainey St, Austin, TX",event,dining,/pins/circular/categories/dining.svg,event,/pins/circular/categories/events.svg,Update recommended,entity,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,OK,Image source looks usable from CSV only.,Use event atmosphere tied to venue/context; include subtle scheduled-experience feel.,"Craft Cocktail Masterclass at Half Step is a resident event in Rainey. Save it, get directions, and view nearby resident perks.",pin/icon should be updated for category clarity,P0
dana-civic-network,DANA,civic,District intelligence partner,civic,,Downtown Core,30.2672,-97.7431,,civic,dana,/pins/circular/brands/dana.svg,dana,/pins/circular/brands/dana.svg,OK,entity,/images/civic_republic_square_1779052838327.png,OK,Image source looks usable from CSV only.,"Use streetscape, park, trail, or civic programming imagery with walkable downtown context.","DANA gives Downtown Perks residents a practical local advantage in Downtown Core. Civic activation and resident engagement layer. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P2
daa-downtown-alliance,DAA,civic,District operations partner,civic,,Downtown Core,30.2678,-97.7428,,civic,daa,/pins/circular/brands/daa.svg,daa,/pins/circular/brands/daa.svg,OK,entity,/images/civic_lake_trail_1779052853070.png,OK,Image source looks usable from CSV only.,"Use streetscape, park, trail, or civic programming imagery with walkable downtown context.","DAA gives Downtown Perks residents a practical local advantage in Downtown Core. District operations and downtown business participation layer. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P2
civic-waterloo,Waterloo Greenway,civic,Community activation,civic,,Red River,30.272,-97.734,,civic,civic,/pins/circular/categories/civic.svg,civic,/pins/circular/categories/civic.svg,OK,entity,/images/events/resident-mixer-cool-night.jpeg,OK,Image source looks usable from CSV only.,"Use streetscape, park, trail, or civic programming imagery with walkable downtown context.","Waterloo Greenway gives Downtown Perks residents a practical local advantage in Red River. Park activation and green space access. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address; partner panel description missing,P0
brand-inkind,inKind,brand,inkind,inkind,inKind,Downtown dining network,30.2672,-97.7517,,brand,inkind,/pins/circular/brands/inkind.svg,inkind,/pins/circular/brands/inkind.svg,OK,category,/images/partner/drop-in-images/inkind-table-spread.jpg,Review,category fallback image,"Use dining-benefit imagery: table spread, card moment, partner restaurant texture.","inKind gives Downtown Perks residents a practical local advantage in Downtown dining network. inKind dining nearby. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-dana,DANA,brand,civic,civic,,Downtown Core,30.2672,-97.7431,,civic,dana,/pins/circular/brands/dana.svg,dana,/pins/circular/brands/dana.svg,OK,category,/images/civic_republic_square_1779052838327.png,Review,category fallback image,"Use streetscape, park, trail, or civic programming imagery with walkable downtown context.","DANA gives Downtown Perks residents a practical local advantage in Downtown Core. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-daa,DAA,brand,civic,civic,,Downtown Core,30.2678,-97.7428,,civic,daa,/pins/circular/brands/daa.svg,daa,/pins/circular/brands/daa.svg,OK,category,/images/civic_lake_trail_1779052853070.png,Review,category fallback image,"Use streetscape, park, trail, or civic programming imagery with walkable downtown context.","DAA gives Downtown Perks residents a practical local advantage in Downtown Core. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-the-shore,The Shore,brand,property,property,,Rainey,30.2554,-97.7397,,property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,category,/images/austonian_lobby_1779052725341.png,Review,category fallback image,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","The Shore gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-the-waterline,The Waterline,brand,property,property,,Rainey,30.2594,-97.741,,property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,entity,/images/austonian_lobby_1779052725341.png,OK,Image source looks usable from CSV only.,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","The Waterline gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P2
brand-the-paseo,The Paseo,brand,property,property,,Downtown Core,30.2661,-97.7466,,property,property,/pins/circular/categories/residential.svg,property,/pins/circular/categories/residential.svg,OK,entity,/images/commercial_street_level_1779052788888.png,OK,Image source looks usable from CSV only.,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","The Paseo gives Downtown Perks residents a practical local advantage in Downtown Core. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P2
brand-bangers,Banger's,brand,restaurant,restaurant,Banger's,Rainey,30.2578,-97.7386,,brand,dining,/pins/circular/categories/dining.svg,dining,/pins/circular/categories/dining.svg,OK,entity,/images/partner_dining_patio_1779052819620.png,OK,Image source looks usable from CSV only.,"Use patio, plate, table, or venue atmosphere imagery with resident social energy.","Banger's gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P2
brand-the-stay-put,The Stay Put,brand,venue,venue,The Stay Put,Rainey,30.2572,-97.7382,,brand,dining,/pins/circular/categories/dining.svg,dining,/pins/circular/categories/dining.svg,OK,category,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,Review,category fallback image,"Use patio, plate, table, or venue atmosphere imagery with resident social energy.","The Stay Put gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-lustre-pearl,Lustre Pearl,brand,venue,venue,Lustre Pearl,Rainey,30.2582,-97.7389,,brand,dining,/pins/circular/categories/dining.svg,dining,/pins/circular/categories/dining.svg,OK,category,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,Review,category fallback image,"Use patio, plate, table, or venue atmosphere imagery with resident social energy.","Lustre Pearl gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-half-step,Half Step,brand,venue,venue,Half Step,Rainey,30.2574,-97.7387,,brand,dining,/pins/circular/categories/dining.svg,dining,/pins/circular/categories/dining.svg,OK,category,/images/partner/drop-in-images/inkind-table-spread.jpg,Review,category fallback image,"Use patio, plate, table, or venue atmosphere imagery with resident social energy.","Half Step gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-comedy-mothership,Comedy Mothership,brand,culture,culture,Comedy Mothership,6th Street,30.2664,-97.7428,,brand,art,/pins/circular/categories/culture.svg,art,/pins/circular/categories/culture.svg,OK,category,/images/motion/5OVOBur8PVysCm5FG_VdOAa7gUhIy1_fvE5kZsu0GsuYm7SNjgBBbVIIlHOziVJCOc7KQxMoc4JfYS5n4KfGSTDmXb6UZcEuaFk9nCXQkN1E78Sv8Pa4g4ktnmgi139nJwRbEqIhH7K1xlwdOC-afhNU2-a7TMFg6QTIvalBTTn4eKA2rlRgzVjsBrBtko0R.jpeg,Review,category fallback image,"Use marquee, stage, gallery, or installation imagery. Keep it editorial and downtown-specific.","Comedy Mothership gives Downtown Perks residents a practical local advantage in 6th Street. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-hotel-van-zandt,Hotel Van Zandt,brand,hotel,hotel,,Rainey,30.259966,-97.739141,,hotel,hotel,/pins/circular/categories/hotels.svg,hotel,/pins/circular/categories/hotels.svg,OK,category,/images/hospitality/FVYZlJYG9EOdXp31bh8GIkk3w6mSV8U8I1d9Zqofl--jqIENgWsuqVYVSszwDnFwze8BBSM4tzTLq2Uch3eNsNN7jLRha9DXMuJzwOPIu6IS3i4KPsJjwWZhQG2_2udJyaVJSu7yMNnkDqcXa6Ni_h8cHea5qSaBgHQQcnKPXlD7NqsIYGDxz2TQ1IACJQRP.jpeg,Review,category fallback image,"Use official hotel lobby, pool, exterior, or hospitality detail image for that exact property.","Hotel Van Zandt gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-geraldines,Geraldine's,brand,restaurant,restaurant,Geraldine's,Rainey,30.2568,-97.7391,,brand,inkind,/pins/circular/brands/inkind.svg,inkind,/pins/circular/brands/inkind.svg,OK,category,/images/partner/drop-in-images/inkind-plated-dinner.jpg,Review,category fallback image,"Use patio, plate, table, or venue atmosphere imagery with resident social energy.","Geraldine's gives Downtown Perks residents a practical local advantage in Rainey. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-four-seasons,Four Seasons Austin,brand,hotel,hotel,,Downtown Core,30.26162,-97.74226,,hotel,four_seasons,/pins/circular/brands/four-seasons.svg,four_seasons,/pins/circular/brands/four-seasons.svg,OK,category,/images/waustin_pool_1779052756806.png,Review,category fallback image; possible image mismatch: W Austin image used for Four Seasons,"Use official hotel lobby, pool, exterior, or hospitality detail image for that exact property.","Four Seasons Austin gives Downtown Perks residents a practical local advantage in Downtown Core. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
brand-four-seasons-residences,Four Seasons Residences,brand,property,property,,Downtown Core,30.2617,-97.742,,property,four_seasons,/pins/circular/brands/four-seasons.svg,four_seasons,/pins/circular/brands/four-seasons.svg,OK,category,/images/waustin_pool_1779052756806.png,Review,category fallback image; possible image mismatch: W Austin image used for Four Seasons,"Use property exterior, amenity, lobby, or lifestyle image tied to the actual building.","Four Seasons Residences gives Downtown Perks residents a practical local advantage in Downtown Core. Nearby guide and local perks. Save it, get directions, or explore nearby perks.",address column blank; verify panel does not need visible address,P1
