crm_id,segment,entity_name,contact_name,role_title,email,phone,website,address,city,state,zip,status,notes,dedupe_key,source_files,source_sheets,source_row_count
CRM-02723,Venue,Frost Bank,,,,,/map/frost-bank,,,,,recommended,recommended,entity:frost-bank|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Ask Map Intents | Perks | Routing | Search Keywords,19
CRM-02724,Venue,"Frost Insurance Agency, Inc.",,,,,/map/frost-insurance-agency-inc,,,,,recommended,recommended,entity:frost-insurance-agency-inc|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Ask Map Intents | Perks | Routing | Search Keywords,19
CRM-02725,Property,Frost Tower,,,,,/map/frost-tower,,,,,recommended,recommended,entity:frost-tower|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Ask Map Intents | Perks | Routing | Search Keywords,19
CRM-02823,Civic,"Kane Russell Coleman Logan, PC",,,,,,,,,,,"Kane Russell Coleman Logan, PC Law firm Austin office not verified from official source in this pass; dropdown indicates Frost Tower association https://www.krcl.com/ General contact route through KRCL website; verify Austin office address before outreach Managing partner / office administrator / marketing Medium Professional Services Presence Client-meeting and professional-lunch guide; optional sponsored civic/business briefing. KRCL should be approached as a professional-services tenant: low-",entity:kane-russell-coleman-logan-pc|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-02963,Hotel,Ohana Real Estate,,,,,,,,,,,"Ohana Real Estate Real estate investment and development / hospitality-oriented real estate Frost Tower association from dropdown; local Austin address not verified in this pass https://www.ohanare.com/ Public contact route via Ohana website Investment leadership / asset management / hospitality partnerships Medium Hospitality + Real Estate Intelligence Curated downtown guide for visiting investors, hospitality partners and project teams. Ohana should be approached through hospitality and placem",entity:ohana-real-estate|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-03097,Sponsor/Brand,Scout Security,,,,,/map/scout-security,,,,,recommended,recommended,entity:scout-security|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,Ask Map Intents | CSV | Partner Intelligence | Perks | Routing | Search Keywords,15
CRM-03282,Research,Twisted Texas Tour,,,,,,,,,,,"Twisted Texas Tour retail Downtown Core Modern Market Eatery - Frost Tower            Not researched  Run Places/API + website/contact research Resident offer, shopping district placement, brand discovery.",entity:twisted-texas-tour|contact:record|address:record,/Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/ENRICHED/downtown-perks-contact-research-base.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/ENRICHED/downtown-perks-places-contact-research-workbook.xlsx | /Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/ENRICHED/downtown-perks-places-enrichment-seed.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown-perks-places-contact-research-workbook (1).xlsx | /Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown-perks-places-contact-research-workbook.xlsx,CSV | Contact Research Base | Places Enrichment Seed,8
CRM-03283,Research,Twisted Texas Tour,,,,,VERIFY — website not captured in source extract,VERIFY — address not captured in browser extract,,,,,twisted-texas-tour-04f3fc67 Twisted Texas Tour retail Modern Market Eatery - Frost Tower Downtown Core VERIFY — address not captured in browser extract VERIFY VERIFY VERIFY VERIFY — likely daytime/evening retail hours; confirm exact daily closing time. VERIFY — exact closing time not captured in source; pull from Google Places opening_hours before publishing. Needs Google Places / website verification Not verified in source; propose resident-specific activation instead of claiming an existing ha,entity:twisted-texas-tour|contact:record|address:verify-address-not-captured-in-browser-extract,/Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/CONTENT/downtown-perks-master-content-plan.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /GOOGLE MAPS/CONTENT/downtown-perks-master-content-plan.xlsx,CSV | Master Content Plan,2
CRM-03677,Property,JuiceLand,,,,12047870173730021201204,,,,,,,"JuiceLand Smoothies, juices and healthy food 120 E 4th Street, Austin, TX 78701 https://www.juiceland.com/locations/frost-tower/ Phone 737-300-2120; store page Store manager / regional operations / local marketing Critical Wellness + Lunch Alternative Smoothie upgrade, wellness bundle, or weekday “clean lunch” resident/worker offer. JuiceLand gives Downtown Perks a health-forward daily-use anchor for workers, residents, travelers and fitness users. A fast downtown reset: smoothies, hot food and ",phone:12047870173730021201204,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04033,Property,Modern Market,,,,40110078701473752986791004,,,,,,,"Modern Market Fast-casual restaurant: salads, bowls and scratch-made meals 401 Congress Ave, Suite 100A, Austin, TX 78701 https://modernmarket.com/stores/frost-tower-4th-congress/ Phone 737-529-8679; catering/order links on store page Store manager / catering sales / regional marketing Critical Lunch + Catering Anchor Resident/worker lunch offer, meeting catering bundle, healthy team lunch package. Modern Market is the most direct workplace-lunch partner in the building. The play is frequency, c",phone:40110078701473752986791004,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04034,Property,Houndstooth Coffee,,,,401100787015123946051710100,,,,,,,"Houndstooth Coffee Specialty coffee shop 401 Congress Ave, Suite 100C, Austin, TX 78701 https://houndstoothcoffee.com/cafes/downtown/ Phone 512-394-6051; local store contact route Store manager / regional manager / owner/operator Critical Daily Perk Anchor Resident/workplace coffee offer: pastry add-on, meeting coffee bundle, or first-week Frost Tower welcome card. Houndstooth is the everyday anchor. It turns Frost Tower from office address into morning ritual. A polished coffee stop for starts,",phone:401100787015123946051710100,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04035,Hotel,Oak View Group,,,,401145078701145020240949,,,,,,,"Oak View Group Venue development, management, hospitality and live experience 401 Congress Ave, Suite 1450, Austin, TX 78701 https://www.oakviewgroup.com/contact/austin-office/ Office page; Moody Center leadership references public through venue announcements Austin office / partnerships / premium sales / event marketing High Events + Premium Experience Downtown event-night guide, premium hospitality offers, Moody Center tie-ins and resident early-awareness campaign. OVG brings the entertainment",phone:401145078701145020240949,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04036,Property,"Insight Global, LLC",,,,40116007870185548588531600,,,,,,,"Insight Global, LLC Staffing, recruiting and professional services 401 Congress Ave, Suite 1600, Austin, TX 78701 https://insightglobal.com/locations/texas/staffing-agency-austin-tx/ Phone 855-485-8853; office page contact route Local sales/recruiting leadership / office manager / consultant engagement High Candidate Experience + Hiring Days Candidate welcome route, interview-day coffee/lunch perk and office-client hospitality package. Insight Global lives on relationships and momentum. Downtown",phone:40116007870185548588531600,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04037,Hotel,Alpine Investors,,,,4011675787014011675,,,,,,,"Alpine Investors Private equity / people-driven investment firm 401 Congress Ave, Suite 1675, Austin, TX 78701 https://alpineinvestors.com/contact/ Public office page; general inquiries via Alpine contact form / LinkedIn company page Austin office / People team / Office operations / Portfolio operations High Employer Amenity + Executive Hospitality Free or bundled downtown perk credits for visiting founders, portfolio leaders, recruiting candidates and Austin employees. A people-driven investor ",phone:4011675787014011675,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04038,Civic,Reed Smith,,,,40118007870115126231801151262318491800,,,,,,,"Reed Smith International law firm 401 Congress Avenue, Suite 1800, Austin, TX 78701 https://www.reedsmith.com/locations/austin/ Office +1 512 623 1801; public related contact Rebecca Jones McKnight +1 512 623 1849 via Austin page Austin office partner / office administrator / marketing / recruiting High Client Hospitality + Professional Presence Client meeting guide, attorney recruiting path, local lunch/coffee and civic/business briefing sponsorship. Reed Smith’s Austin office sells industry-in",phone:40118007870115126231801151262318491800,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04039,Property,"Maxwell, Locke & Ritter, LLP",,,,40120007870120002025,,,,,,,"Maxwell, Locke & Ritter, LLP Accounting, tax and advisory firm 401 Congress Avenue, Suite 2000, Austin, TX 78701 https://www.mlrpc.com/who-we-are/news/maxwell-locke-ritter-expands-into-new-office-space-in-frost-tower-to-support-continued-growth-and-collaboration/ Contact route through MLR website; Austin/Round Rock office pages Managing partner / people operations / marketing / recruiting High Employee + Client Hospitality Busy-season wellness/lunch perks, client meeting guide and recruiting-can",phone:40120007870120002025,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04041,Government,Vista Equity Partners,,,,40131007870151273024003100,,,,,,,"Vista Equity Partners Private equity / enterprise software investment firm 401 Congress Avenue, Suite 3100, Austin, TX 78701 https://www.vistaequitypartners.com/contact/ Phone 512-730-2400; contact form by department Austin office leadership / workplace / events / portfolio operations High Executive + Portfolio Hospitality Portfolio visitor guide, executive hospitality route, recruiting-candidate experience, private dining and event-night map. Vista is a flagship tenant. The right offer is not a",phone:40131007870151273024003100,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04042,Civic,Ernst & Young,,,,401320078701151247898814013200,,,,,,,"Ernst & Young Professional services: assurance, tax, consulting, strategy 401 Congress, Suite 3200, Austin, TX 78701 https://www.ey.com/en_us/locations/united-states Direct +1 512 478 9881; Austin office via EY locations page Office managing partner / workplace experience / recruiting / corporate responsibility High Employee Experience + Recruiting Recruiting candidate welcome guide; lunch-and-learn perks; downtown impact volunteer route. EY’s office needs practical employee experience, client h",phone:401320078701151247898814013200,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04045,Property,Pacific Investment Management Company LLC,,,,40178701,,,,,,,"Pacific Investment Management Company LLC Investment management Frost Bank Tower, 401 Congress Ave, Austin, TX 78701; suite not confirmed from official page https://www.pimco.com/us/en/about-us/careers/pimco-austin PIMCO contacts require login for assigned contacts; public website/contact routes available Austin office leadership / HR / workplace / marketing High Workplace + Community Impact Employee wellness and community impact layer: volunteer routes, lunch/coffee/wellness perks and recruitin",phone:40178701,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04046,Hotel,Metropolis Parking,,,,401787011076,,,,,,,"Metropolis Parking Parking technology and garage operations Frost Bank Tower garage, 401 Congress Avenue, Austin, TX 78701 https://www.metropolis.io/blog/frost-tower Public contact through Metropolis; Secure-a-Spot lead form for Frost Tower parking Parking operations / property manager / enterprise partnerships Critical Mobility + Access Layer Tenant/resident parking guidance, validation campaigns, event-night parking offers and garage intelligence. Parking is the first friction point. If Downto",phone:401787011076,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04047,Property,Frost Bank,,,,401787011240124780051376785124847033401124015124847033644,,,,,,,"Frost Bank Banking and financial services 401 Congress Ave, Austin, TX 78701; Austin Chamber lists Floor 12 https://locations.frostbank.com/austin/401-congress-ave. 24/7 phone 800-513-7678; Austin Chamber listing 512-484-7033 Branch manager / commercial banking / community relations / marketing Critical Financial Wellness + Building Sponsor Downtown financial wellness series, new-resident banking guide, small-business partner spotlight, and merchant co-op campaign. Frost is the name on the tower",phone:401787011240124780051376785124847033401124015124847033644,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04048,Hotel,DivcoWest,,,,40178701183006202418,,,,,,,"DivcoWest Commercial real estate investment and asset management Frost Tower, 401 Congress Ave, Austin, TX 78701; Austin portfolio manager context https://divcowest.com/divcowest-doubles-presence-in-downtown-austin-with-addition-of-1-8msf-commercial-portfolio/ Corporate contact route via DivcoWest website; local property/leasing alignment through Frost Tower / Endeavor references Asset management / property management / leasing / tenant experience Critical Building Anchor + Portfolio Layer Portf",phone:40178701183006202418,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04050,Hotel,Frost Tower,,,,4017870129915899356,https://myfrosttower.com,"401 Congress Ave, Austin, TX 78701",,,,seed,"Seeded from Master Map Registry launch targets. Verify address, contact, and current operating details before external outreach.",phone:4017870129915899356,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Target Companies,1
CRM-04052,Property,"Frost Insurance Agency, Inc.",BD / Partnerships,,,401787013025261997738618159935611112026070120260701,https://www.frostinsurance.com,"401 Congress Ave, Austin, TX 78701",,,,seed,"Seeded from Master Map Registry launch targets. Verify address, contact, and current operating details before external outreach.",phone:401787013025261997738618159935611112026070120260701,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Brands | Master Entities,2
CRM-04056,Property,Frost Bank Branch,BD / Partnerships,,,401787013025708197726742159935611212026070120260701,https://www.frostbank.com,"401 Congress Ave, Austin, TX 78701",,,,seed,"Seeded from Master Map Registry launch targets. Verify address, contact, and current operating details before external outreach.",phone:401787013025708197726742159935611212026070120260701,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Brands | Master Entities,2
CRM-04061,Hotel,Frost Tower,BD / Partnerships,,,40178701302583619772950915993564322026070120260701,https://myfrosttower.com,"401 Congress Ave, Austin, TX 78701",,,,seed,"Seeded from Master Map Registry launch targets. Verify address, contact, and current operating details before external outreach.",phone:40178701302583619772950915993564322026070120260701,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Buildings | Master Entities,2
CRM-04071,Property,Frost Bank,BD / Partnerships,,,401787013027273497750203159935611312026070120260701,https://www.frostbank.com,"401 Congress Ave, Austin, TX 78701",,,,seed,"Seeded from Master Map Registry launch targets. Verify address, contact, and current operating details before external outreach.",phone:401787013027273497750203159935611312026070120260701,/Users/megdude/Downloads/x MASTER MAP INVENTORY /downtown_perks_launch_target_master_registry.xlsx,Brands | Master Entities,2
CRM-04078,Property,Frost Bank Branch,,,,401787014018005137678401,,,,,,,"Frost Bank Branch Retail banking branch 401 Congress Ave, Austin, TX 78701 https://locations.frostbank.com/austin/401-congress-ave. 800-513-7678; branch route through Frost location page Branch manager / local banking team High Resident Utility Priority appointment or welcome consult for downtown residents and Frost Tower workers; no forced promotion. The branch can become a service anchor for people who live, work and run businesses downtown. A practical banking stop inside the daily downtown l",phone:401787014018005137678401,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04079,Property,One Taco,,,,402787015125273002402,,,,,,,"One Taco Taquería / fast casual Mexican food 402 Brazos St, Austin, TX 78701 https://www.onetaco.com/visit-us Phone 512-527-3002; store page Store manager / owner/operator / local marketing Critical Breakfast + Lunch Perk Breakfast taco bundle, resident/workplace lunch offer, event-night taco stop. One Taco gives the map an easy high-frequency food moment: breakfast, lunch and late-ish downtown convenience. A practical Frost Tower food stop for breakfast tacos, lunch breaks and quick downtown me",phone:402787015125273002402,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04108,Hotel,Endeavor Real Estate Group,,,,50057007870151268255004015005700,,,,,,,"Endeavor Real Estate Group Real estate development, leasing and property services 500 W 5th Street, Suite 700, Austin, TX 78701 https://www.endeavor-re.com/contact/ Main phone 512-682-5500; retail leasing contacts shown on Frost Tower retail page Leasing / property management / retail leasing / tenant experience Critical Leasing + Retail Activation Use Downtown Perks as a leasing-support and retail-activation system for Frost Tower office and ground-floor tenants. Downtown Perks makes the buildi",phone:50057007870151268255004015005700,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
CRM-04244,Property,"Rapid7, Inc.",,,,740119007870177512646480077771900777,,,,,,,"Rapid7, Inc. Cybersecurity / exposure management technology 401 Congress Avenue, Suite 1900, Austin, TX 78701 https://careers.rapid7.com/rapid7-austin-office Phone 512-646-4800 from public listings; contact via Rapid7 website Austin office leadership / people operations / employer brand High Tech Talent + Workplace Perks Security-team lunch/wellness perks, candidate welcome path and after-work downtown guide. Rapid7 is a strong fit for employer-brand value: high-growth tech teams need workplace ",phone:740119007870177512646480077771900777,/Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.csv | /Users/megdude/Downloads/x MASTER MAP INVENTORY /frost_tower_partner_intelligence.xlsx,CSV | Partner Intelligence,2
