id,building_name,address,neighborhood,property_type,style,walkability,resident_experience,summary,why_it_matters,coffee,dining,drinks,wellness,groceries,nearby_locations,listings,good_to_know,cta_primary,cta_secondary,image_asset,pin_asset,entity_aliases
natiivo-austin,Natiivo Austin,48 East Ave,Rainey,Residential Tower,Flexible downtown residence,"Excellent access to Rainey, Lady Bird Lake, and East Downtown dining.","Rainey-adjacent living with hospitality-style services and strong visitor/resident overlap.","Natiivo Austin sits near the lake and Rainey, where short-term stays and resident routines overlap naturally.","It matters because nearby food, drinks, events, and lake plans are already part of why people choose the area.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Emmer & Rye|Geraldine's","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Rainey Street|Lady Bird Lake|Convention Center|East Downtown","48 East Ave #2509","Rainey adjacent|Hospitality services|Lake access|Event access",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/natiivo.jpeg,/images/pins/residential-pin.svg,"Natiivo|Natiivo Austin|48 East Ave|48 East Avenue"
waterline,Waterline,98 Red River St,Rainey,Mixed-use residential tower,Waterfront mixed-use tower,"Excellent future access to the lake, Rainey, hotels, offices, and downtown events.","Mixed-use residential living connected to waterfront dining, trails, hotels, and daily downtown plans.","Waterline is positioned to become a major downtown anchor where residents, guests, offices, dining, and the lake meet.","It matters because the building can connect multiple downtown routines in one place.","Little Brother|Cafe 605|Jo's Coffee","Aris|Banger's|Geraldine's","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Lady Bird Lake|Rainey Street|Convention Center|Waterfront","98 Red River St #3001","Waterfront|Mixed-use anchor|Trail access|Rainey nearby",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/waterline.jpeg,/images/pins/residential-pin.svg,"Waterline|98 Red River|98 Red River St"
the-austonian,The Austonian,200 Congress Ave,Congress,Residential Tower,Luxury downtown condominium,"Excellent access to Congress, 2nd Street, dining, hotels, and the lake.","A central downtown tower near restaurants, culture, hotels, offices, and lake access.","The Austonian places residents in the middle of downtown decisions with strong dining, events, and walkable errands nearby.","It matters because Congress and 2nd Street make everyday plans easy to start from home.","Houndstooth Coffee|Jo's Coffee|Merit Coffee","La Condesa|Comedor|ATX Cocina","Garage|The Roosevelt Room|Small Victory","CorePower Yoga|Life Time|Barry's","Royal Blue Grocery|Whole Foods Market","Congress Avenue|2nd Street|Lady Bird Lake|Central Library","200 Congress Ave #15E","Central location|Dining nearby|Hotel core|Lake access",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/the-austonian.jpeg,/images/pins/residential-pin.svg,"The Austonian|Austonian|200 Congress|200 Congress Ave|200 Congress Ave #15E|200 Congress Ave # 15E"
360-condominiums,360 Condominiums,360 Nueces St,Market District,Residential Tower,Downtown condominium,"Excellent access to Market District, 2nd Street, Seaholm, and the lake.","Walkable downtown living with groceries, dining, entertainment, and trail access close by.","360 Condominiums gives residents a practical downtown base near errands, coffee, dining, and events.","It matters because daily routines can happen without leaving the downtown core.","Jo's Coffee|Merit Coffee|Codependent","True Food Kitchen|La Condesa|ATX Cocina","Garage|The Roosevelt Room|Codependent","CorePower Yoga|Life Time|Barry's","Whole Foods Market|Trader Joe's","2nd Street|Market District|Seaholm|Lady Bird Lake","360 Nueces St #2805","Market District|Groceries nearby|2nd Street|Walkable dining",View Nearby Perks,Explore Neighborhood,/buildings/360.webp,/images/pins/residential-pin.svg,"360 Condominiums|360 Nueces|360 Nueces St|360"
fifth-and-west,Fifth & West,501 West Ave,Market District,Residential Tower,Luxury downtown condominium,"Excellent access to Market District, Seaholm, Whole Foods, and downtown dining.","High-rise living near groceries, coffee, fitness, restaurants, and city parks.","Fifth & West connects residents to useful everyday places around Market District and Seaholm.","It matters because premium residential living becomes more valuable when the daily map is easy.","Jo's Coffee|Merit Coffee|Codependent","True Food Kitchen|Qi Austin|La Condesa","Garage|Codependent|The Roosevelt Room","CorePower Yoga|Life Time|Barry's","Whole Foods Market|Trader Joe's","Market District|Seaholm|Central Library|Lady Bird Lake","501 West Ave #1901","Market District|Groceries nearby|Premium tower|Dining nearby",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/fifth-and-west.jpeg,/images/pins/residential-pin.svg,"Fifth & West|Fifth and West|501 West Ave|5th and West"
residences-at-w-austin,Residences at W Austin,210 Lavaca St,2nd Street,Hotel Residences,Luxury hotel residences,"Excellent access to 2nd Street, ACL Live, Congress, dining, and nightlife.","Hotel-connected residential living beside music, dining, retail, and downtown events.","Residences at W Austin sit in a strong event and hospitality corridor where residents can use downtown easily.","It matters because entertainment, dinner, and hotel-style services are part of the daily context.","Jo's Coffee|Houndstooth Coffee|Merit Coffee","La Condesa|ATX Cocina|True Food Kitchen","ACL Live|Garage|The Roosevelt Room","CorePower Yoga|Life Time|Barry's","Royal Blue Grocery|Whole Foods Market","ACL Live|2nd Street|Congress Avenue|Lady Bird Lake","210 Lavaca St #2311","Hotel services|Music venue|2nd Street|Dining nearby",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/w-residences.jpeg,/images/pins/residential-pin.svg,"Residences at W Austin|W Residences|W Austin Residences|210 Lavaca"
four-seasons-residences,Four Seasons Residences,98 San Jacinto Blvd,Waterfront,Hotel Residences,Luxury waterfront residences,"Excellent access to the lake, Congress, Convention Center, and hotel dining.","Waterfront living connected to hospitality, dining, lake routines, and downtown events.","Four Seasons Residences offer a polished waterfront base where hotel service and walkable downtown plans meet.","It matters because residents can move between the lake, restaurants, events, and guest amenities with ease.","Houndstooth Coffee|Jo's Coffee|Merit Coffee","Ciclo|La Condesa|Comedor","P6|Garage|The Roosevelt Room","Lady Bird Lake Trail|CorePower Yoga|Life Time","Royal Blue Grocery|Whole Foods Market","Lady Bird Lake|Convention Center|Congress Avenue|Waterfront","98 San Jacinto Blvd #1502","Waterfront|Hotel services|Lake access|Convention core",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/four-seasons-residences.jpeg,/images/pins/residential-pin.svg,"Four Seasons Residences|Four Seasons|98 San Jacinto|98 San Jacinto Blvd"
the-travis,The Travis,80 Red River St,Rainey,Residential Tower,Rainey residential tower,"Excellent access to Rainey, the waterfront, restaurants, and downtown events.","Newer downtown living near food, drinks, trail access, and hotel activity.","The Travis adds a residential anchor to Rainey with immediate access to downtown's social and lake routines.","It matters because residents can use the area for daily wellness and spontaneous plans.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Geraldine's|Emmer & Rye","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Rainey Street|Lady Bird Lake|Waller Creek|Convention Center","80 Red River St #2501","Rainey location|Lake access|New residential|Nightlife nearby",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/the-travis.jpeg,/images/pins/residential-pin.svg,"The Travis|80 Red River|80 Red River St"
residences-at-hotel-zaza,Residences at Hotel ZaZa,400 Lavaca St,Warehouse District,Hotel Residences,Luxury hotel residences,"Excellent access to Warehouse District, Republic Square, restaurants, and nightlife.","Hotel-connected living near downtown dining, bars, offices, and parks.","Residences at Hotel ZaZa put residents near the Warehouse District's strongest dining and social routines.","It matters because service, nightlife, restaurants, and downtown errands all sit close together.","Houndstooth Coffee|Jo's Coffee|Merit Coffee","Red Ash|The Peacock|La Condesa","The Roosevelt Room|Garage|Small Victory","Barry's|CorePower Yoga|Life Time","Royal Blue Grocery|Whole Foods Market","Warehouse District|Republic Square|2nd Street|Congress Avenue","400 Lavaca St #1902","Hotel services|Warehouse District|Nightlife nearby|Republic Square",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/the-austonian.jpeg,/images/pins/residential-pin.svg,"Residences at Hotel ZaZa|Hotel ZaZa Residences|ZaZa Residences|400 Lavaca"
the-modern-austin-residences,The Modern Austin Residences,90 Rainey St,Rainey,Residential Tower,Modern Rainey residences,"Excellent access to Rainey, the waterfront, restaurants, and nightlife.","Modern residential living near the lake, Rainey food and drinks, and downtown events.","The Modern Austin Residences bring a new resident base to one of downtown's most active walkable corridors.","It matters because residents can connect quickly to food, music, hotels, the lake, and events.","Little Brother|Cafe 605|Jo's Coffee","Banger's|Geraldine's|Emmer & Rye","Half Step|Lustre Pearl|Lucille","Lady Bird Lake Trail|BATHE|CorePower Yoga","Royal Blue Grocery|Whole Foods Market","Rainey Street|Lady Bird Lake|Convention Center|Waller Creek","90 Rainey St #2104","New residential|Rainey access|Lake nearby|Dining nearby",View Nearby Perks,Explore Neighborhood,/images/property-listings-premium/paseo.jpeg,/images/pins/residential-pin.svg,"The Modern Austin Residences|Modern Austin|90 Rainey|90 Rainey St"
riversouth,RiverSouth,401 S 1st St,South Shore,Mixed-use residential building,South Shore residential tower,"Strong access to Lady Bird Lake, South First, downtown bridges, and South Congress.","South Shore living connected to the lake, downtown, restaurants, and outdoor routines.","RiverSouth gives residents a bridge-side home base with quick access to downtown and South Austin.","It matters because the lake and downtown can be part of the same everyday route.","Jo's Coffee|Mañana|Starbucks","Terry Black's BBQ|Carpenter Hall|Perla's","P6|Equipment Room|Garage","Lady Bird Lake Trail|CorePower Yoga|SculptHouse","Thom's Market|Whole Foods Market","Lady Bird Lake|South Congress|Long Center|Downtown Core","401 S 1st St #1103","South Shore|Bridge access|Trail nearby|Downtown views",View Nearby Perks,Explore Neighborhood,/buildings/catherine.webp,/images/pins/residential-pin.svg,"RiverSouth|401 S 1st|401 South 1st"
bridges-on-the-park,Bridges on the Park,210 Lee Barton Dr,South Shore,Residential Building,Park-adjacent condominium,"Excellent access to Butler Park, Lady Bird Lake, and South Lamar.","Park-adjacent living near trails, restaurants, cultural venues, and downtown bridges.","Bridges on the Park works for residents who want green space and downtown access in the same daily map.","It matters because parks, trails, and restaurants are close enough to use throughout the week.","Jo's Coffee|Mañana|Starbucks","Terry Black's BBQ|Eberly|Carpenter Hall","P6|Equipment Room|Garage","Lady Bird Lake Trail|CorePower Yoga|SculptHouse","Thom's Market|Whole Foods Market","Butler Park|Long Center|Lady Bird Lake|South Lamar","210 Lee Barton Dr #503","Park access|Trail routines|South Shore|Downtown bridge",View Nearby Perks,Explore Neighborhood,/buildings/catherine.webp,/images/pins/residential-pin.svg,"Bridges on the Park|210 Lee Barton|210 Lee Barton Dr"
bartonplace,BartonPlace,1600 Barton Springs Rd,Zilker,Residential Building,Park and trail condominium,"Excellent access to Barton Springs, Zilker, Lady Bird Lake, and South Lamar.","Residential living near parks, trails, restaurants, and major Austin outdoor routines.","BartonPlace connects residents to Barton Springs, Zilker, the trail, and downtown without losing neighborhood texture.","It matters because outdoor life and downtown access can both be part of the same routine.","Jo's Coffee|Mañana|Starbucks","Chuy's|Eberly|Terry Black's BBQ","The Highball|P6|Equipment Room","Barton Springs|Lady Bird Lake Trail|SculptHouse","Thom's Market|Whole Foods Market","Barton Springs|Zilker Park|Lady Bird Lake|South Lamar","1600 Barton Springs Rd #4302","Park access|Trail nearby|Barton Springs|Outdoor routines",View Nearby Perks,Explore Neighborhood,/buildings/catherine.webp,/images/pins/residential-pin.svg,"BartonPlace|Barton Place|1600 Barton Springs|1600 Barton Springs Rd"
